id	Name	Category
354	internet_address_survey_reprobing_it49c-20120817	Address Space Allocation Data
355	internet_address_census_it50j-20120926	Address Space Allocation Data
356	geoloc_49_60_61_73_74_95_176-20121001	Internet Topology Data
357	internet_address_survey_reprobing_it50c-20121011	Address Space Allocation Data
358	internet_address_survey_reprobing_it50j-20121027	Address Space Allocation Data
359	internet_address_survey_reprobing_it51w-20121116	Address Space Allocation Data
360	Conficker Botnet Sinkhole Connection Data	Sinkhole Data
361	internet_address_survey_reprobing_it49j-20120902	Address Space Allocation Data
362	internet_address_census_it50w-20120926	Address Space Allocation Data
363	internet_address_survey_reprobing_it50w-20120926	Address Space Allocation Data
364	internet_address_census_it50c-20120926	Address Space Allocation Data
365	internet_address_census_it51w-20121116	Address Space Allocation Data
366	internet_address_census_it51c-20121116	Address Space Allocation Data
367	internet_address_census_it51j-20121116	Address Space Allocation Data
368	internet_address_survey_reprobing_it51c-20121201	Address Space Allocation Data
369	internet_address_survey_reprobing_it51j-20121217	Address Space Allocation Data
370	internet_address_census_it52w-20130102	Address Space Allocation Data
371	internet_address_census_it52c-20130102	Address Space Allocation Data
372	internet_address_census_it52j-20130102	Address Space Allocation Data
373	internet_address_survey_reprobing_it52w-20130102	Address Space Allocation Data
374	internet_address_survey_reprobing_it52c-20130116	Address Space Allocation Data
375	geoloc_69_70_91_92_110_111_128-20130201	Internet Topology Data
376	geoloc_166_167_168_169_172_179_210_212_213_220_221_222_223-20130201	Internet Topology Data
377	geoloc_196_197_198_199_200_201_204_205_206_207_208_209-20130201	Internet Topology Data
378	geoloc_23_27_36_37_38_39_41_42_170_171_173_174_175_180_181-20130201	Internet Topology Data
379	internet_address_survey_reprobing_it52j-20130201	Address Space Allocation Data
380	internet_address_census_it53w-20130222	Address Space Allocation Data
381	internet_address_census_it53c-20130222	Address Space Allocation Data
382	internet_address_census_it53j-20130222	Address Space Allocation Data
383	internet_address_survey_reprobing_it53w-20130222	Address Space Allocation Data
384	geoloc_210_212_213_220_221_222_223-20130301	Internet Topology Data
385	geoloc_177_182_183_184_185_190_191_211_214_215-20130301	Internet Topology Data
386	geoloc_sparse_prefixes-20130301	Internet Topology Data
387	internet_address_survey_reprobing_it53c-20130311	Address Space Allocation Data
388	internet_address_survey_reprobing_it53j-20130326	Address Space Allocation Data
389	ITDK 2013-04	Internet Topology Data
390	NCCDC 2013	Synthetically Generated Data
391	internet_address_census_it54w-20130430	Address Space Allocation Data
392	internet_address_survey_reprobing_it54w-20130430	Address Space Allocation Data
393	internet_address_census_it54c-20130430	Address Space Allocation Data
394	internet_address_census_it54j-20130430	Address Space Allocation Data
395	internet_address_survey_reprobing_it54c-20130524	Address Space Allocation Data
396	internet_address_survey_reprobing_it54j-20130618	Address Space Allocation Data
